Date	H:M	Height	S/N	Noise	Ne	Te	Ti	t_0	t_min	a_min	Te	Ti
20191001	18:40	720.57	0.011865	86.3098	0.163789	12246.2	-nan	112.869	312	-nan	1038.54	1022.99
20191001	18:40	721.747	-0.00374413	83.362	0.161884	614.535	-nan	409.692	648	-nan	1038.56	1023.44
20191001	18:40	722.925	-0.00338423	88.2467	0.16	347.944	-nan	476.619	640	-nan	1038.59	1023.89
20191001	18:40	724.102	0.00230935	90.1846	0.158138	21550.9	-nan	88.4122	328	-nan	1038.61	1024.33
20191001	18:40	725.279	0.0107793	90.3573	0.156298	12201.8	-nan	111.71	288	-nan	1038.64	1024.76
20191001	18:40	726.457	0.00147025	84.14	0.154479	51119.2	-nan	58.595	272	-nan	1038.66	1025.19
20191001	18:40	727.634	-0.000150893	88.1409	0.152681	531.459	-nan	425.782	640	-nan	1038.68	1025.62
20191001	18:40	728.812	0.0124052	87.0169	0.150904	12069.2	-nan	113.569	312	-nan	1038.7	1026.04
20191001	18:40	729.989	-0.00348951	84.7607	0.149147	2345.22	-nan	248.787	624	-nan	1038.72	1026.45
20191001	18:40	731.166	0.00703656	87.0005	0.147411	9112.45	-nan	128.7	328	-nan	1038.74	1026.86
20191001	18:40	732.344	0.00159588	89.4427	0.145695	15380.5	-nan	104.441	392	-nan	1038.76	1027.26
20191001	18:40	733.521	0.00510531	87.9504	0.143999	5590.16	-nan	157.831	344	-nan	1038.78	1027.65
