Date	H:M	Height	S/N	Noise	Ne	Te	Ti	t_0	t_min	a_min	Te	Ti
20191001	18:40	149.53	0.0313247	83.5361	7.97714	1514.14	132.186	287.736	552	-0.888683	661.578	603.477
20191001	18:40	150.707	0.0309104	89.3335	8.05453	2738.51	857.864	210.568	384	-0.44003	665.659	605.141
20191001	18:40	151.885	0.0394299	83.3625	8.13063	1321.63	-nan	325.764	792	-nan	669.661	606.708
20191001	18:40	153.062	0.0285049	86.9212	8.20541	505.377	369.042	408.154	568	-0.249767	673.584	608.181
20191001	18:40	154.239	0.0407242	84.8162	8.27885	1023.51	702.042	309.394	472	-0.262192	677.43	609.566
20191001	18:40	155.417	0.0354645	85.4126	8.35093	-nan	-nan	-nan	-nan	-nan	681.2	610.865
20191001	18:40	156.594	0.0347226	85.6137	8.42162	624.175	1079.58	336.66	440	-0.0754302	684.896	612.082
20191001	18:40	157.772	0.0306608	86.3132	8.4909	1264.55	132.067	296.025	496	-0.808754	688.519	613.22
20191001	18:40	158.949	0.0225296	90.6797	8.55875	-nan	-nan	-nan	-nan	-nan	692.07	614.283
20191001	18:40	160.126	0.033169	85.1216	8.62515	942.746	630.179	306.064	440	-0.267364	695.551	615.275
20191001	18:40	161.304	0.0521606	85.568	8.69008	1147.37	-nan	346.52	816	-nan	698.963	616.198
20191001	18:40	162.481	0.0245383	83.8886	8.75352	1429.35	210.776	276.176	456	-0.672658	702.307	617.058
20191001	18:40	163.659	0.0434883	85.1135	8.81546	610.547	1020.81	352.705	472	-0.0842876	705.585	617.856
20191001	18:40	164.836	0.0228474	85.0118	8.87589	458.244	705.518	374.226	472	-0.103749	708.797	618.596
20191001	18:40	166.013	0.0369231	89.952	8.93478	1181.58	425.353	298.674	480	-0.404683	711.946	619.281
20191001	18:40	167.191	0.0504758	86.7009	8.99213	997.791	986.712	306.773	456	-0.191459	715.033	619.916
20191001	18:40	168.368	0.0405797	86.5198	9.04792	654.738	540.045	362.544	512	-0.226049	718.058	620.502
