Date	H:M	Height	S/N	Noise	Ne	Te	Ti	t_0	t_min	a_min	Te	Ti
20191001	0:0	23.548	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
20191001	0:0	24.7254	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
20191001	0:0	25.9028	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
20191001	0:0	27.0802	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
20191001	0:0	28.2576	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
20191001	0:0	29.435	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
20191001	0:0	30.6124	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
20191001	0:0	31.7898	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
20191001	0:0	23.548	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
20191001	0:0	24.7254	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
20191001	0:0	25.9028	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
20191001	0:0	27.0802	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
20191001	0:0	28.2576	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
20191001	0:0	29.435	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
20191001	0:0	30.6124	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
20191001	0:0	31.7898	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
