Date	H:M	Height	S/N	Noise	Ne	Te	Ti	t_0	t_min	a_min	Te	Ti
20191001	18:50	341.446	0.00310776	84.1619	5.58177	14144.5	-nan	106.107	312	-nan	926.458	739.918
20191001	18:50	342.623	0.00689335	85.3025	5.5338	3519.74	6099.38	161.548	240	-0.0749106	927.323	740.909
20191001	18:50	343.801	-0.00258333	90.1589	5.48605	26049.4	-nan	82.8993	648	-nan	928.185	741.9
20191001	18:50	344.978	0.0102386	87.0116	5.43851	367.01	-nan	523.906	816	-nan	929.041	742.892
20191001	18:50	346.156	0.00269107	89.539	5.39119	121.451	-nan	698.983	824	-nan	929.894	743.883
20191001	18:50	347.333	-0.00752992	90.4828	5.3441	3090.67	-nan	213.609	488	-nan	930.742	744.874
20191001	18:50	348.51	0.0145365	86.0008	5.29722	12543.5	1019.59	106.791	240	-0.922479	931.585	745.866
20191001	18:50	349.688	0.00490736	84.4307	5.25058	5463.66	-nan	174.692	800	-nan	932.424	746.857
20191001	18:50	350.865	0.00868135	87.9772	5.20417	61.2156	-nan	837.26	896	-nan	933.259	747.849
20191001	18:50	352.043	-0.0055962	89.7658	5.15799	13253.7	2929.29	98.8863	192	-0.538213	934.089	748.841
20191001	18:50	353.22	0.00905956	86.7174	5.11206	219.084	-nan	619.017	848	-nan	934.915	749.833
20191001	18:50	354.397	0.0106118	87.1432	5.06636	8986.66	-nan	131.249	360	-nan	935.737	750.824
20191001	18:50	355.575	-0.00875659	90.9923	5.02091	4801.88	-nan	178.625	496	-nan	936.554	751.816
20191001	18:50	356.752	0.00123988	90.0044	4.9757	3843.45	-nan	194.566	472	-nan	937.368	752.809
20191001	18:50	357.93	0.000916894	87.1506	4.93075	54814.7	7865.59	35.4739	48	-0.682643	938.176	753.801
20191001	18:50	359.107	0.00551557	88.47	4.88604	4673.74	-nan	187.642	792	-nan	938.981	754.793
20191001	18:50	360.284	0.000129239	88.834	4.84159	931.16	-nan	361.921	680	-nan	939.781	755.785
20191001	18:50	361.462	0.00597997	87.5157	4.7974	4189.13	-nan	197.269	792	-nan	940.577	756.778
20191001	18:50	362.639	0.00337621	85.7789	4.75347	9495.52	-nan	129.225	384	-nan	941.368	757.77
20191001	18:50	363.817	0.000188634	90.197	4.70979	39031.7	-nan	37.5111	48	-nan	942.156	758.763
20191001	18:50	364.994	0.0094024	86.1985	4.66638	5466.95	878.295	155.452	312	-0.6421	942.939	759.756
